央视频道,#genre#
CCTV9,http://119.98.99.124:5555/rtp/239.69.1.104:10262
CCTV9,http://171.41.195.122:8888/rtp/239.69.1.104:10262
CCTV9,http://171.80.219.6:8888/rtp/239.69.1.104:10262
CCTV9,http://27.20.65.193:5555/rtp/239.69.1.104:10262
CCTV9,http://27.17.193.37:9100/rtp/239.69.1.104:10262
CCTV9,http://171.80.43.185:8880/rtp/239.69.1.104:10262
CCTV9,http://27.16.160.149:3520/rtp/239.69.1.104:10262
CCTV9,http://171.80.233.21:8888/rtp/239.69.1.104:10262
CCTV9,http://27.30.72.52:8888/rtp/239.69.1.104:10262
CCTV9,http://59.174.227.133:8880/rtp/239.69.1.104:10262
CCTV9,http://27.24.225.35:8888/rtp/239.69.1.104:10262
CCTV9,http://59.174.98.235:8880/rtp/239.69.1.104:10262
CCTV10,http://111.172.5.4:8888/rtp/239.69.1.105:10268
CCTV10,http://111.170.82.136:9999/rtp/239.69.1.105:10268
CCTV10,http://111.178.111.228:9999/rtp/239.69.1.105:10268
CCTV10,http://119.98.99.124:5555/rtp/239.69.1.105:10268
CCTV10,http://171.41.195.122:8888/rtp/239.69.1.105:10268
CCTV10,http://119.101.65.113:8888/rtp/239.69.1.105:10268
CCTV10,http://171.80.219.6:8888/rtp/239.69.1.105:10268
CCTV10,http://171.80.233.21:8888/rtp/239.69.1.105:10268
CCTV10,http://171.80.43.185:8880/rtp/239.69.1.105:10268
CCTV10,http://27.16.160.149:3520/rtp/239.69.1.105:10268
CCTV10,http://27.17.193.37:9100/rtp/239.69.1.105:10268
CCTV10,http://27.20.65.193:5555/rtp/239.69.1.105:10268
CCTV10,http://27.30.72.52:8888/rtp/239.69.1.105:10268
CCTV10,http://59.174.227.133:8880/rtp/239.69.1.105:10268
CCTV10,http://59.174.98.235:8880/rtp/239.69.1.105:10268
CCTV10,http://27.24.225.35:8888/rtp/239.69.1.105:10268
CCTV11,http://111.172.5.4:8888/rtp/239.69.1.154:10560
CCTV11,http://111.170.82.136:9999/rtp/239.69.1.154:10560
CCTV11,http://111.178.111.228:9999/rtp/239.69.1.154:10560
CCTV11,http://27.16.160.149:3520/rtp/239.69.1.154:10560
CCTV11,http://171.41.195.122:8888/rtp/239.69.1.154:10560
CCTV11,http://119.98.99.124:5555/rtp/239.69.1.154:10560
CCTV11,http://171.80.219.6:8888/rtp/239.69.1.154:10560
CCTV11,http://119.101.65.113:8888/rtp/239.69.1.154:10560
CCTV11,http://171.80.43.185:8880/rtp/239.69.1.154:10560
CCTV11,http://27.17.193.37:9100/rtp/239.69.1.154:10560
CCTV11,http://171.80.233.21:8888/rtp/239.69.1.154:10560
CCTV11,http://27.20.65.193:5555/rtp/239.69.1.154:10560
CCTV11,http://27.24.225.35:8888/rtp/239.69.1.154:10560
CCTV11,http://27.30.72.52:8888/rtp/239.69.1.154:10560
CCTV11,http://59.174.227.133:8880/rtp/239.69.1.154:10560
CCTV11,http://59.174.98.235:8880/rtp/239.69.1.154:10560
CCTV12,http://111.172.5.4:8888/rtp/239.69.1.106:10274
CCTV12,http://111.170.82.136:9999/rtp/239.69.1.106:10274
CCTV12,http://119.98.99.124:5555/rtp/239.69.1.106:10274
